Tarefas,Importância,Horas
1,3,7
2,2,8
3,1,13
4,4,17
5,4,15
6,1,5
7,2,6
8,5,15
9,4,11
10,5,12
11,5,15
12,1,2
13,1,4
14,2,2
15,3,3
16,3,8
17,2,4
18,2,1
19,5,10
20,4,7
21,4,7
22,3,3
23,2,3
24,1,8
25,3,5
26,3,1
27,4,1
28,5,15
29,1,8
30,3,8
31,2,8
32,1,2
33,4,17
34,4,13
35,1,3
36,2,2
37,5,1
38,4,1
39,5,11
40,5,11
41,1,1
42,1,8
43,2,2
44,3,9
45,3,5
46,2,5
47,2,5
48,5,8
49,4,8
50,4,8
51,3,8
52,2,2
53,1,1
54,3,2
55,3,3
56,4,2
57,5,18
58,1,19
59,3,7
60,2,7
61,1,6
62,4,3
63,4,5
64,1,6
65,2,6
66,5,19
67,4,18
68,5,9
69,5,9
70,1,5
71,1,5
72,2,3
73,3,8
74,3,8
75,2,15
76,2,5
77,5,7
78,4,8
79,4,5
80,3,5
81,2,2
82,1,3
83,3,6
84,3,7
85,4,5
86,5,20
87,1,5
88,4,5
89,4,2
90,3,3
91,3,6
92,2,7
93,2,9
94,1,10
95,5,5
96,3,3
97,4,2
98,5,30
99,1,4
